Hydantoin,C3H4N2O2,2.94E+00,100.08
2-Imidazole sulfonic acid,C3H4N2O3S,5.01E-01,148.14
Ammelide,C3H4N4O2,6.00E-04,128.09
Acrolein,C3H4O,5.67E+00,56.06
Malonic acid,C3H4O4,4.22E+00,104.06
Allyl bromide,C3H5Br,3.17E-02,120.98
"1,2-Dibromo-3-chloropropane",C3H5Br2Cl,4.23E-03,236.34
Allyl chloride,C3H5Cl,4.69E-02,76.53
Chloroacetone,C3H5ClO,8.92E-01,92.53
Epichlorohydrin,C3H5ClO,6.60E-01,92.53
"1,1-Dichloro-1-nitropropane",C3H5Cl2NO2,3.15E-02,157.98
"1,2,3-Trichloropropane",C3H5Cl3,1.29E-02,147.43
